run,t,KE,PE,E,dE_rel
dt500,4.90074,4.999679150074556e-07,-9.999679137410375e-07,-4.999999987335819e-07,2.508758700380663e-09
dt500,5.026400000000001,4.999727161987734e-07,-9.99972715121884e-07,-4.999999989231106e-07,2.12970129207987e-09
dt500,5.1520600000000005,4.999773252590321e-07,-9.999773243640917e-07,-4.999999991050596e-07,1.7658032324364518e-09
dt500,5.27772,4.999816694941451e-07,-9.999816687707046e-07,-4.999999992765595e-07,1.4228033814264319e-09
dt500,5.40338,4.999856803831863e-07,-9.999856798180898e-07,-4.999999994349035e-07,1.1061153383740793e-09
dt500,5.52904,4.9998929465989e-07,-9.999892942374836e-07,-4.999999995775935e-07,8.207353271188942e-10
dt500,5.6547,4.999924553114103e-07,-9.99992455013787e-07,-4.999999997023766e-07,5.711691394239041e-10
dt500,5.78036,4.999951124785259e-07,-9.999951122858095e-07,-4.999999998072836e-07,3.613552667356994e-10
dt500,5.906020000000001,4.99997224243017e-07,-9.999972241336765e-07,-4.999999998906595e-07,1.9460349029575614e-10
dt500,6.031680000000001,4.999987572897323e-07,-9.999987572409188e-07,-4.999999999511865e-07,7.354935311951948e-11
dt500,6.1573400000000005,4.999996874328324e-07,-9.999996874207433e-07,-4.999999999879109e-07,1.0058516248887002e-13
dt500,6.283,4.999999999978648e-07,-9.99999999998117e-07,-5.000000000002522e-07,2.4581954921095737e-11
